repo_name,file_path,language,lines_of_code,file_size,comment_density,naming_entropy,pattern_repetition,complexity_score,suspicious_patterns,overall_score
scrapy/scrapy,scrapy/commands/genspider.py,python,226,7505,0.048672566371681415,4.0208374840453285,0.13513513513513514,1.0,"os\.system, password|secret|key|token|api_key, shell|cmd|command, urllib|requests|http",0.6340112595167845
scrapy/scrapy,scrapy/commands/list.py,python,24,655,0.0,4.075441370946633,0.0,0.6,shell|cmd|command,0.47377206854733167
scrapy/scrapy,scrapy/commands/parse.py,python,410,14144,0.024390243902439025,4.1184334537403515,0.1441717791411043,1.0,"password|secret|key|token|api_key, shell|cmd|command, urllib|requests|http",0.6138889029728173
scrapy/scrapy,scrapy/commands/runspider.py,python,64,2039,0.0,4.0845985787998424,0.0196078431372549,1.0,shell|cmd|command,0.5371711054105803
scrapy/scrapy,scrapy/commands/settings.py,python,64,1986,0.0,3.7899811562324337,0.1346153846153846,1.0,shell|cmd|command,0.5396913655039294
scrapy/scrapy,scrapy/commands/shell.py,python,101,3251,0.12871287128712872,3.9995714340516852,0.029411764705882353,1.0,"shell|cmd|command, urllib|requests|http",0.5450834057153973
clips/pattern,docs/js/shBrushJScript.js,javascript,65,2306,0.4307692307692308,4.341712762267142,0.023255813953488372,0.2,"password|secret|key|token|api_key, urllib|requests|http",0.39595862559099576
clips/pattern,docs/js/shBrushPython.js,javascript,73,2865,0.2876712328767123,4.301062118389573,0.058823529411764705,0.3,"__import__, password|secret|key|token|api_key, urllib|requests|http",0.4657259503997365
clips/pattern,docs/js/shBrushXml.js,javascript,69,1998,0.3188405797101449,4.221843914524046,0.025,0.5,"exec\s*\(, password|secret|key|token|api_key, urllib|requests|http",0.4820161087696805
clips/pattern,docs/js/shCore.js,javascript,17,16175,1.1176470588235294,4.2616995390188634,0.09090909090909091,0.4,"eval\s*\(, password|secret|key|token|api_key, shell|cmd|command, socket|connect|bind|listen, urllib|requests|http, random|uuid|guid",0.4490742817637774
clips/pattern,docs/update.py,python,111,5102,0.6846846846846847,3.675996002104494,0.07142857142857142,0.5,"shell|cmd|command, urllib|requests|http",0.3768113831168077
clips/pattern,examples/01-web/01-google.py,python,50,2022,0.52,3.796628954549228,0.0,0.4,"password|secret|key|token|api_key, urllib|requests|http",0.3818314477274614
clips/pattern,examples/01-web/02-google-translate.py,python,29,1051,0.3793103448275862,3.646051815411494,0.06666666666666667,0.0,"password|secret|key|token|api_key, urllib|requests|http",0.3454060390464368
clips/pattern,examples/01-web/03-bing.py,python,56,1849,0.375,3.8065189302153737,0.08695652173913043,0.5,"password|secret|key|token|api_key, urllib|requests|http",0.4321194247716382
clips/pattern,examples/01-web/04-twitter.py,python,65,2340,0.3076923076923077,3.678225208988778,0.058823529411764705,0.5,password|secret|key|token|api_key,0.40158094370735753
clips/pattern,examples/01-web/05-twitter-stream.py,python,37,1067,0.32432432432432434,3.581731360829894,0.0,0.4,socket|connect|bind|listen,0.370437919392846
clips/pattern,examples/01-web/06-feed.py,python,40,1335,0.3,3.7693607897489763,0.0,0.2,"[a-zA-Z0-9+/]{30,}=*, urllib|requests|http",0.38346803948744884
clips/pattern,examples/01-web/07-wikipedia.py,python,41,1678,0.4146341463414634,3.5992460449560584,0.15,0.2,urllib|requests|http,0.35026718029658344
clips/pattern,examples/01-web/08-wiktionary.py,python,96,2987,0.28125,4.062601110496677,0.0,1.0,urllib|requests|http,0.4909425555248338
clips/pattern,examples/01-web/09-wikia.py,python,57,1817,0.3508771929824561,3.8469293270246254,0.19230769230769232,0.7,"password|secret|key|token|api_key, shell|cmd|command, urllib|requests|http",0.5135610412500167
clips/pattern,examples/01-web/10-dbpedia.py,python,156,4869,0.6923076923076923,3.5999112522166206,0.32857142857142857,1.0,urllib|requests|http,0.45543512305039147
clips/pattern,examples/01-web/11-facebook.py,python,88,3440,0.38636363636363635,3.7846916817203815,0.021739130434782608,0.8,"password|secret|key|token|api_key, urllib|requests|http",0.46454090819669097
clips/pattern,examples/01-web/12-dom.py,python,163,5757,0.34355828220858897,3.8666590145537256,0.2857142857142857,1.0,"password|secret|key|token|api_key, urllib|requests|http",0.5446563512535407
clips/pattern,examples/01-web/13-crawler.py,python,185,7045,0.43243243243243246,4.017827811708958,0.18461538461538463,1.0,urllib|requests|http,0.4937188334128908
clips/pattern,examples/01-web/14-flickr.py,python,46,1520,0.30434782608695654,4.063163784676997,0.0,0.2,"password|secret|key|token|api_key, urllib|requests|http",0.39750601532080637
clips/pattern,examples/01-web/15-sort.py,python,36,1328,0.3055555555555556,3.8321819966346466,0.0,0.2,password|secret|key|token|api_key,0.35577576649839904
clips/pattern,examples/02-db/01-database.py,python,107,3493,0.32710280373831774,4.1194576732003965,0.08620689655172414,0.7,"password|secret|key|token|api_key, urllib|requests|http",0.48483849758203074
clips/pattern,examples/02-db/02-datasheet.py,python,61,2054,0.32786885245901637,3.6314193107204162,0.03125,0.0,urllib|requests|http,0.3170781376671684
clips/pattern,examples/02-db/03-date.py,python,36,1191,0.2222222222222222,3.604013680199249,0.045454545454545456,0.2,urllib|requests|http,0.36368553249481095
clips/pattern,examples/03-en/01-inflect.py,python,95,3915,0.42105263157894735,3.9662503339034014,0.14285714285714285,0.8,,0.4265831933868994
alirezamika/autoscraper,autoscraper/__init__.py,python,1,49,0.0,0.0,0.0,0.0,,0.15
alirezamika/autoscraper,autoscraper/auto_scraper.py,python,725,23898,0.33379310344827584,4.231784913179586,0.30514705882352944,1.0,"\.encode\(, password|secret|key|token|api_key, urllib|requests|http",0.5972923389652673
alirezamika/autoscraper,autoscraper/utils.py,python,59,1425,0.01694915254237288,4.100891591312929,0.024390243902439025,1.0,password|secret|key|token|api_key,0.5361607432696565
alirezamika/autoscraper,setup.py,python,30,946,0.0,3.976471982078791,0.0,0.0,"password|secret|key|token|api_key, urllib|requests|http",0.40882359910393956
alirezamika/autoscraper,tests/conftest.py,python,107,3248,0.0,4.120792080797717,0.0898876404494382,1.0,"password|secret|key|token|api_key, urllib|requests|http",0.5795227501073015
alirezamika/autoscraper,tests/integration/test_complex_features.py,python,77,2825,0.15584415584415584,4.024775016196551,0.14754098360655737,0.6,urllib|requests|http,0.46999327497418775
alirezamika/autoscraper,tests/integration/test_real_world.py,python,83,2863,0.1927710843373494,4.137612953862427,0.109375,0.7,,0.44937123504251897
alirezamika/autoscraper,tests/unit/test_additional_features.py,python,41,1585,0.0,3.8095416088797283,0.23333333333333334,0.5,,0.4504770804439864
alirezamika/autoscraper,tests/unit/test_build.py,python,18,546,0.0,3.8762406850433186,0.07692307692307693,0.2,,0.3853504957906274
alirezamika/autoscraper,tests/unit/test_features.py,python,57,1774,0.14035087719298245,3.934511632395336,0.13953488372093023,0.5,,0.42160318259895896
